Rank,Name,Nationality,Age,Points,Year
95,ERMOLAEVA Veronika,RUSSIAN FEDERATION,22,90,2018
96,MADSEN Nicoline,DENMARK,20,90,2018
97,MINEIRO DA CONCEIÇÃO Isabelle Milene,BRAZIL,19,85,2018
98,ASAHINA Ayaka,JAPAN,22,85,2018
99,RICHARDSON Lakisha,NETHERLANDS,19,82,2018
100,BEEMAN Elida,UNITED STATES OF AMERICA,21,80,2018
101,SHAMAHINA Marina,RUSSIAN FEDERATION,24,75,2018
102,HUWENDIEK Kathrin,GERMANY,21,75,2018
103,DEVOLDER Charlotte,FRANCE,21,70,2018
104,MULLER Maria Tereza,BRAZIL,27,70,2018
105,HENDERSON Alaina,UNITED STATES OF AMERICA,26,65,2018
106,CURTIS Leanna,AUSTRALIA,25,65,2018
107,MARTIN Amy,NEW ZEALAND,19,65,2018
108,BRUNTON Courtney,NEW ZEALAND,20,65,2018
109,FIGURA Elzbieta,POLAND,23,60,2018
109,TEKKEL Ketlin,ESTONIA,22,60,2018
109,LASKINA Alina,UKRAINE,23,60,2018
109,PORTILLO Liliana,EL SALVADOR,24,60,2018
113,PENG Na,PEOPLE'S REPUBLIC OF CHINA,23,50,2018
113,SMITH Rachelle,AUSTRALIA,21,50,2018
115,ANCELOT Roude,FRANCE,23,45,2018
116,LONDOÑO VALENCIA Maria Camila,COLOMBIA,20,45,2018
116,CORDERO SOLANO Heimy,COSTA RICA,22,45,2018
116,BERNATSKA Anastasiia,UKRAINE,19,45,2018
116,PEREZ PAVEZ Catalina,CHILE,19,45,2018
116,MT SALI Siti Maria,MALAYSIA,25,45,2018
116,SMYKALA Zuzanna,POLAND,28,45,2018
122,GASKIN Rachel,AUSTRALIA,21,40,2018
123,CARIOLI Miriana,ITALY,21,40,2018
123,BURGOS PALACIOS Heydi Michelle,ECUADOR,19,40,2018
123,PEREZ PAVEZ Catalina,CHILE,19,40,2018
126,RUNGE Regula,GERMANY,29,40,2018
126,HANSEN Tahlia,NEW ZEALAND,21,40,2018
126,ELSTE Kitija,LATVIA,20,40,2018
126,PURI Ly,ESTONIA,39,40,2018
126,AGUILERA MARTINEZ Rosario,CHILE,22,40,2018
126,SALAZAR ARAYA Melania,COSTA RICA,22,40,2018
126,KYLICHENKO Daria,UKRAINE,22,40,2018
126,SZYMANSKA Katarzyna,POLAND,26,40,2018
134,JANG Yerin,KOREA,19,35,2018
134,ASTUDILLO LOZANO Monica Alexandra,ECUADOR,20,35,2018
134,KINGSTON Chelsea Lynn,CANADA,24,35,2018
137,TUSARMA TEJADA Heidy Daniela,COLOMBIA,19,35,2018
137,DEICMANE Megija Agate,LATVIA,19,35,2018
137,KUCEL Zuzanna,POLAND,20,35,2018
137,PASIECHNYK Olena,UKRAINE,29,35,2018
141,THONGMEE Duangkamon,THAILAND,27,30,2018
141,KINNIE Erin,CANADA,22,30,2018
141,BESNIER Oceane,FRANCE,21,30,2018
141,TORRES Morgane,FRANCE,21,30,2018
141,KRUSE Gabriela,BRAZIL,46,30,2018
141,PANIE Regina,INDONESIA,21,30,2018
141,YEPEZ GARCIA Maria,ECUADOR,19,30,2018
141,LIXANDRU Mikaela,UNITED STATES OF AMERICA,21,30,2018
141,THANOMTHANAPONG Ngowngarm,THAILAND,20,30,2018
150,MARTINS ALVES PEREIRA Leticia,BRAZIL,25,30,2018
150,SALAMANCA MUÑOZ Natalia Alejandra,COLOMBIA,19,30,2018
150,MIRANDA OCANA Catalina,ECUADOR,19,30,2018
150,GLINKA Jacqueline,GERMANY,30,30,2018
150,LYSIEN Anna,POLAND,27,30,2018
155,GUESNET Julie,FRANCE,24,25,2018
156,SMITH Monique,NEW ZEALAND,22,25,2018
157,BUCHELI Lady,ECUADOR,21,25,2018
158,SAILER Sarah,GERMANY,22,25,2018
158,ZULUAGA GUERRERO Isabela,COLOMBIA,19,25,2018
158,JACKSON Rayner,NEW ZEALAND,20,25,2018
158,PIECH Martyna,POLAND,23,25,2018
162,ARCE HERBAS Normajahel,BOLIVIA,19,20,2018
162,LONG Kristen,UNITED STATES OF AMERICA,22,20,2018
164,BINETRUY Chloé,FRANCE,19,20,2018
164,GACEK Agnieszka,POLAND,22,20,2018
166,KORTMAN Keely,UNITED STATES OF AMERICA,25,15,2018
166,SANDERS Adrian,UNITED STATES OF AMERICA,22,15,2018
166,GUILLAMOT Lucie,FRANCE,21,15,2018
169,BONNET Celia,FRANCE,20,15,2018
1,SMULDERS Laura,NETHERLANDS,24,1635,2017
2,PAJON Mariana,COLOMBIA,26,1475,2017
3,CHRISTENSEN Simone,DENMARK,23,1275,2017
4,BONDARENKO Yaroslava,RUSSIAN FEDERATION,20,1095,2017
5,BAAUW Judy,NETHERLANDS,23,1050,2017
6,SUVOROVA Natalia,RUSSIAN FEDERATION,22,771,2017
7,HERNANDEZ Stefany,BOLIVARIAN REPUBLIC OF VENEZUELA,26,770,2017
8,STEVAUX CARNAVAL Priscilla Andreia,BRAZIL,24,725,2017
9,PETCH Rebecca,NEW ZEALAND,19,715,2017
10,REYNOLDS Lauren,AUSTRALIA,26,700,2017
11,HUISMAN Ruby,NETHERLANDS,19,695,2017
12,WILLOUGHBY Alise,UNITED STATES OF AMERICA,26,660,2017
13,CURTIS Leanna,AUSTRALIA,24,635,2017
14,AFREMOVA Natalia,RUSSIAN FEDERATION,19,618,2017
15,ADMAKINA Svetlana,RUSSIAN FEDERATION,19,565,2017
16,ETIENNE Axelle,FRANCE,19,540,2017
17,GEORGE Danielle,UNITED STATES OF AMERICA,23,530,2017
18,MAIRE Camille,FRANCE,23,525,2017
19,VEENSTRA Manon,NETHERLANDS,19,500,2017
20,ESCOBAR YEPES Andrea,COLOMBIA,20,485,2017
21,DIAZ Maria Gabriela,ARGENTINA,36,460,2017
22,PRIES Nadja,GERMANY,23,453,2017
23,WALKER Sarah,NEW ZEALAND,29,450,2017
24,MECHIELSEN Drew,CANADA,20,445,2017
25,BUCHANAN Caroline,AUSTRALIA,27,430,2017
26,DIAZ Mariana,ARGENTINA,25,405,2017
27,VANHOOF Elke,BELGIUM,26,400,2017
28,STANCIL Felicia,UNITED STATES OF AMERICA,22,400,2017
29,SMULDERS Merel,NETHERLANDS,19,381,2017
30,DOUDOUX Mathilde,FRANCE,21,355,2017
31,NOVANDA Elga Kharisma,INDONESIA,24,355,2017
32,TUCHSCHERER Daina,CANADA,20,350,2017
33,FLEMING Zoe,NEW ZEALAND,19,330,2017
34,HARVEY Sarah,AUSTRALIA,22,325,2017
35,CRAIN Brooke,UNITED STATES OF AMERICA,24,310,2017
36,SHAW Mikalyn,UNITED STATES OF AMERICA,21,305,2017
37,KITWANITSATHIAN Chutikan,THAILAND,19,305,2017
38,AZUERO Domenica,ECUADOR,21,295,2017
39,RENO Shealen,UNITED STATES OF AMERICA,21,290,2017
40,MAMAT Noor Quraataina,MALAYSIA,22,275,2017
41,SAETAE Waranya,THAILAND,21,250,2017
42,JONES Rachel,AUSTRALIA,22,235,2017
43,THONGMEE Duangkamon,THAILAND,26,232,2017
44,CARRERA CHALA Karla Belen,ECUADOR,21,222,2017
45,SAILER Sarah,GERMANY,21,216,2017
46,THORLEY Tyler-Lea,AUSTRALIA,19,215,2017
47,BOIVIN Christelle,SWITZERLAND,20,210,2017
48,ASTUDILLO LOZANO Monica Alexandra,ECUADOR,19,210,2017
49,VRENEGOOR Danielle,NETHERLANDS,23,205,2017
50,LOPEZ Andrea,GUATEMALA,19,200,2017
51,FRANCINEAU Eloise,FRANCE,19,185,2017
52,ALVES DOS SANTOS Julia,BRAZIL,21,185,2017
53,THOMAS Gemma-Lee,AUSTRALIA,20,180,2017
54,NOPIANTI Cupi,INDONESIA,20,175,2017
55,MYDOCK Rachel,UNITED STATES OF AMERICA,21,175,2017
56,OSORNO CALDERON Maria Paulina,COLOMBIA,20,165,2017
57,SORIANO Florencia Ayelen,ARGENTINA,24,165,2017
57,KORTMAN Keely,UNITED STATES OF AMERICA,24,165,2017
59,HENDERSON Alaina,UNITED STATES OF AMERICA,25,160,2017
60,KINGSTON Chelsea,CANADA,23,160,2017
61,VON NIEDERHÄUSERN Christa,SWITZERLAND,19,155,2017
62,VAN HEES Viviana,NETHERLANDS,21,155,2017
63,VERTESSEN Karo,BELGIUM,19,151,2017
64,VALENTINO Manon,FRANCE,27,150,2017
65,MENDEZ ZUÑIGA Maria Isabel,GUATEMALA,23,150,2017
66,BUCHELI Lady,ECUADOR,20,145,2017
67,COLLMAN Heather,UNITED STATES OF AMERICA,22,145,2017
68,DEVOLDER Charlotte,FRANCE,20,135,2017
69,BESNIER Oceane,FRANCE,20,135,2017
70,ROJAS Anna Sara,BOLIVIA,21,130,2017
71,BICE Sabrina,UNITED STATES OF AMERICA,21,125,2017
72,GUZMAN MOLINA Monica,COSTA RICA,35,125,2017
73,ARIFIN Ariana Nurminda,MALAYSIA,20,125,2017
74,LU Yan,PEOPLE'S REPUBLIC OF CHINA,25,120,2017
75,SEKO Haruka,JAPAN,21,120,2017
76,GRUN Mélanie,FRANCE,22,115,2017
77,JACOBS Ellen,NETHERLANDS,25,113,2017
78,JUILLERAT Louanne,SWITZERLAND,20,110,2017
79,WOODWARD Esther,AUSTRALIA,21,110,2017
80,THANOMTHANAPONG Ngowngarm,THAILAND,19,110,2017
81,CORDERO SOLANO Heimy,COSTA RICA,21,110,2017
82,PENG Na,PEOPLE'S REPUBLIC OF CHINA,22,105,2017
83,RIMSAITE Vilma,LITHUANIA,34,105,2017
83,LACOSTE Marine,FRANCE,22,105,2017
85,BELANGER Megane,CANADA,19,105,2017
86,ZAMPESE Camilla,ITALY,20,105,2017
87,TERESHKINA Alexandra,RUSSIAN FEDERATION,19,100,2017
88,AGUILAR LUNA Katherin Odily,GUATEMALA,19,100,2017
89,MOROSINI CHAVES Thaynara,BRAZIL,22,95,2017
90,BROWN Samantha,UNITED STATES OF AMERICA,22,95,2017
91,HUWENDIEK Kathrin,GERMANY,20,95,2017
92,ZHANG Yaru,PEOPLE'S REPUBLIC OF CHINA,21,90,2017
93,LABOUNKOVÁ Romana,CZECH REPUBLIC,28,90,2017
94,KINNIE Erin,CANADA,21,85,2017
95,HUGOT Mathilde,FRANCE,19,85,2017
96,ADINE ALMIRA AZARIA Tifania,INDONESIA,19,80,2017
96,AGUILERA MARTINEZ Rosario,CHILE,21,80,2017
98,LONDOÑO VALENCIA Maria Camila,COLOMBIA,19,80,2017
99,IIBATA Miki,JAPAN,32,80,2017
100,SHAMAHINA Marina,RUSSIAN FEDERATION,23,75,2017
101,GASKIN Rachel,AUSTRALIA,20,70,2017
102,TORRES Morgane,FRANCE,20,70,2017
103,ABRIL Belen,ECUADOR,20,70,2017
104,MILLMAN Sabrina,CANADA,24,70,2017
104,BRUNTON Courtney,NEW ZEALAND,19,70,2017
106,ASAHINA Ayaka,JAPAN,21,70,2017
106,HANSEN Tahlia,NEW ZEALAND,20,70,2017
108,RUNGE Regula,GERMANY,28,70,2017
109,WINDHOLZ Jamie,UNITED STATES OF AMERICA,20,65,2017
110,HAO Cui,PEOPLE'S REPUBLIC OF CHINA,25,60,2017
111,CARIOLI Miriana,ITALY,20,60,2017
112,USOVA Tatiana,RUSSIAN FEDERATION,21,60,2017
113,ALEKSEJEVA Sandra,LATVIA,26,60,2017
113,SUSLINA Alina,UKRAINE,22,60,2017
113,SHYLA Nastassia,BELARUS,21,60,2017
113,PEINADO PIZARRO Maria Alejandra,BOLIVIA,20,60,2017
113,GACEK Agnieszka,POLAND,21,60,2017
113,ŠABÍKOVÁ Radka,SLOVAKIA,27,60,2017
113,SOLANO VILCHEZ Johanna,COSTA RICA,30,60,2017
120,VANDERKUIP Brianne,CANADA,19,55,2017
121,BALLE Dorte,DENMARK,20,53,2017
122,GARCIA RECUERO Veronica,SPAIN,22,50,2017
123,GUNN Ashleigh,AUSTRALIA,21,50,2017
124,VERHAGEN Ashley,UNITED STATES OF AMERICA,26,50,2017
124,OROZCO MELENDEZ Ana Alejandra,GUATEMALA,24,50,2017
126,USOVA Anastasia,RUSSIAN FEDERATION,21,45,2017
127,POPOVYCH Olena,UKRAINE,28,45,2017
127,FIGURA Elzbieta,POLAND,22,45,2017
127,ELSTE Kitija,LATVIA,19,45,2017
127,ARCE HERBAS Normajahel,BOLIVIA,18,45,2017
131,GUESNET Julie,FRANCE,23,40,2017
132,SOON Natahsya,MALAYSIA,22,40,2017
132,ORTIZ MANCILLA Joanna,BOLIVIA,20,40,2017
132,KUCEL Zuzanna,POLAND,19,40,2017
132,ANTA Berze,LATVIA,30,40,2017
136,SMITH Rachelle,AUSTRALIA,20,35,2017
136,MONTERROSA ARRIETA Dian Marcela,COLOMBIA,20,35,2017
138,LAJMI Megane,FRANCE,21,35,2017
138,JANPUENG Sarocha,THAILAND,21,35,2017
138,DRABIK Dagmara,POLAND,25,35,2017
138,PAVOKOVIC Sandra,GERMANY,20,35,2017
138,ROJAS Andreina,BOLIVIA,21,35,2017
138,MEZELAN Khuzaimah,MALAYSIA,34,35,2017
138,ROJA SOUZA Eduarda,BRAZIL,19,35,2017
138,ELĪZA Taima,LATVIA,22,35,2017
146,FINES Sienna Elaine,PHILIPPINES,19,30,2017
147,MARTIN-VERHAAREN Arielle,UNITED STATES OF AMERICA,32,30,2017
147,CAREAGA PEÑAFIEL Alison Dayana,BOLIVIA,31,30,2017
147,KRUSE Gabriela,BRAZIL,45,30,2017
150,GLINKA Jacqueline,GERMANY,29,25,2017
150,CONTRERAS Carol,BOLIVIA,20,25,2017
150,PHUANGYEETHO Supaporn,THAILAND,20,25,2017
153,SARTEN Hannah,NEW ZEALAND,21,20,2017
154,FONTAINE Camille,FRANCE,25,20,2017
155,BURBIDGE-SMITH Harriet,AUSTRALIA,21,15,2017
1,SMULDERS Laura,NETHERLANDS,23,1555,2016
2,PAJON Mariana,COLOMBIA,25,1425,2016
3,WILLOUGHBY Alise,UNITED STATES OF AMERICA,25,1370,2016
4,BUCHANAN Caroline,AUSTRALIA,26,1350,2016
5,CRAIN Brooke,UNITED STATES OF AMERICA,23,1310,2016
6,BONDARENKO Yaroslava,RUSSIAN FEDERATION,19,1210,2016
7,VANHOOF Elke,BELGIUM,25,1020,2016
8,CHRISTENSEN Simone,DENMARK,22,930,2016
9,REYNOLDS Lauren,AUSTRALIA,25,875,2016
10,BAAUW Judy,NETHERLANDS,22,850,2016
11,STEVAUX CARNAVAL Priscilla Andreia,BRAZIL,23,815,2016
12,DIAZ Maria Gabriela,ARGENTINA,35,785,2016
13,GEORGE Danielle,UNITED STATES OF AMERICA,22,768,2016
14,CURTIS Leanna,AUSTRALIA,23,745,2016
15,PRIES Nadja,GERMANY,22,701,2016
16,VALENTINO Manon,FRANCE,26,670,2016
17,HERNANDEZ Stefany,BOLIVARIAN REPUBLIC OF VENEZUELA,25,660,2016
18,VAN BENTHEM Merle,NETHERLANDS,24,560,2016
19,POTTIER Magalie,FRANCE,27,560,2016
20,SUVOROVA Natalia,RUSSIAN FEDERATION,21,550,2016
21,MCLEOD Melinda,AUSTRALIA,23,540,2016
22,GEVING Amanda,UNITED STATES OF AMERICA,27,540,2016
23,MAIRE Camille,FRANCE,22,465,2016
24,DOUDOUX Mathilde,FRANCE,20,465,2016
25,IJANO QUINALHA Bianca,BRAZIL,23,450,2016
26,RENO Shealen,UNITED STATES OF AMERICA,20,416,2016
27,CARR Amanda,THAILAND,26,405,2016
28,ALEKSEJEVA Sandra,LATVIA,25,400,2016
29,STANCIL Felicia,UNITED STATES OF AMERICA,21,395,2016
30,LABOUNKOVÁ Romana,CZECH REPUBLIC,27,390,2016
31,TAYLOR Abbie,GREAT BRITAIN,23,365,2016
32,DELLAR Kirsten,AUSTRALIA,24,335,2016
33,TUCHSCHERER Daina,CANADA,19,325,2016
34,AZUERO Domenica,ECUADOR,20,320,2016
35,VAN HEES Viviana,NETHERLANDS,20,315,2016
36,NOVANDA Elga Kharisma,INDONESIA,23,315,2016
37,LE CORGUILLE Laetitia,FRANCE,30,310,2016
38,JONES Rachel,AUSTRALIA,21,303,2016
39,CARRERA CHALA Karla Belen,ECUADOR,20,300,2016
40,LACOSTE Marine,FRANCE,21,291,2016
41,SAILER Sarah,GERMANY,20,286,2016
42,SARTEN Hannah,NEW ZEALAND,20,285,2016
43,ESCOBAR YEPES Andrea,COLOMBIA,19,265,2016
44,THONGMEE Duangkamon,THAILAND,25,255,2016
44,BUCHELI Lady,ECUADOR,19,255,2016
46,OSORNO CALDERON Maria Paulina,COLOMBIA,19,253,2016
47,ROJAS Anna Sara,BOLIVIA,20,245,2016
48,RIMSAITE Vilma,LITHUANIA,33,242,2016
49,VRENEGOOR Danielle,NETHERLANDS,22,235,2016
50,DIAZ Mariana,ARGENTINA,24,230,2016
51,SPRENGERS Dana,NETHERLANDS,26,221,2016
52,HLADÍKOVÁ Aneta,CZECH REPUBLIC,32,220,2016
53,WALSH Amelia,CANADA,24,219,2016
54,SMITH Rachelle,AUSTRALIA,19,210,2016
55,BOIVIN Christelle,SWITZERLAND,19,205,2016
56,GOMEZ ECHEVERRY Estefania,COLOMBIA,25,203,2016
57,BROWN Samantha,UNITED STATES OF AMERICA,21,201,2016
58,WALKER Sarah,NEW ZEALAND,28,200,2016
59,ABRIL Belen,ECUADOR,19,200,2016
60,MECHIELSEN Drew,CANADA,19,196,2016
61,SEKO Haruka,JAPAN,20,190,2016
62,LU Yan,PEOPLE'S REPUBLIC OF CHINA,24,185,2016
63,USOVA Tatiana,RUSSIAN FEDERATION,20,185,2016
64,BALLE Dorte,DENMARK,19,184,2016
65,PEINADO PIZARRO Maria Alejandra,BOLIVIA,19,184,2016
66,MYDOCK Rachel,UNITED STATES OF AMERICA,20,180,2016
66,NOPIANTI Cupi,INDONESIA,19,180,2016
68,SAETAE Waranya,THAILAND,20,180,2016
69,HARVEY Sarah,AUSTRALIA,21,177,2016
70,HENDERSON Alaina,UNITED STATES OF AMERICA,24,163,2016
71,SHAW Mikalyn,UNITED STATES OF AMERICA,20,159,2016
72,MARTIN-VERHAAREN Arielle,UNITED STATES OF AMERICA,31,155,2016
73,SUSWANTI Suswanti,INDONESIA,24,155,2016
74,GARCIA RECUERO Veronica,SPAIN,21,154,2016
75,GUNN Ashleigh,AUSTRALIA,20,154,2016
76,RUNGE Regula,GERMANY,27,149,2016
77,JANPUENG Sarocha,THAILAND,20,146,2016
78,PAVOKOVIC Sandra,GERMANY,19,146,2016
79,FROLOVA Maria,RUSSIAN FEDERATION,23,143,2016
80,KAPITANOVA Tatiana,RUSSIAN FEDERATION,20,142,2016
81,USOVA Anastasia,RUSSIAN FEDERATION,20,132,2016
82,KORTMAN Keely,UNITED STATES OF AMERICA,23,130,2016
83,THOMAS Gemma-Lee,AUSTRALIA,19,116,2016
84,PURNAMASARI Rina,INDONESIA,26,115,2016
85,SHAMAHINA Marina,RUSSIAN FEDERATION,22,113,2016
86,CASTILLO Yerlin,BOLIVARIAN REPUBLIC OF VENEZUELA,21,110,2016
87,SORIANO Florencia Ayelen,ARGENTINA,23,108,2016
87,BURBIDGE-SMITH Harriet,AUSTRALIA,20,108,2016
89,ZHANG Yaru,PEOPLE'S REPUBLIC OF CHINA,20,105,2016
90,BICE Sabrina,UNITED STATES OF AMERICA,20,101,2016
91,KINGSTON Chelsea,CANADA,22,95,2016
92,IIBATA Miki,JAPAN,31,95,2016
93,GRUN Mélanie,FRANCE,21,91,2016
94,HAO Cui,PEOPLE'S REPUBLIC OF CHINA,24,90,2016
95,TEKKEL Ketlin,ESTONIA,20,90,2016
96,KRUSE Gabriela,BRAZIL,44,90,2016
96,PANIE Regina,INDONESIA,19,90,2016
98,PRASOETSRI Nicha,THAILAND,23,90,2016
99,MCNAMARA Clare,AUSTRALIA,19,89,2016
100,OCHOA Jersarith,BOLIVARIAN REPUBLIC OF VENEZUELA,19,85,2016
101,VERHAGEN Ashley,UNITED STATES OF AMERICA,25,82,2016
102,ZAMPESE Camilla,ITALY,19,80,2016
103,AGUILERA Rosario,CHILE,20,80,2016
104,ARIFIN Ariana Nurminda,MALAYSIA,19,80,2016
105,ERMOLAEVA Veronika,RUSSIAN FEDERATION,20,76,2016
106,PENG Na,PEOPLE'S REPUBLIC OF CHINA,21,75,2016
107,FERREE Carlie,UNITED STATES OF AMERICA,20,75,2016
108,THAKSAPORN Khaowsuan,THAILAND,29,75,2016
109,GREEN Charlotte,GREAT BRITAIN,22,74,2016
110,DEVOLDER Charlotte,FRANCE,19,74,2016
111,RIYANI Fritriyanti,INDONESIA,25,70,2016
112,ALVES DOS SANTOS Julia,BRAZIL,20,70,2016
113,ORTEGA Aliexis,BOLIVARIAN REPUBLIC OF VENEZUELA,20,68,2016
114,SOON Natahsya,MALAYSIA,21,60,2016
115,FERNANDEZ Rosangela,BOLIVARIAN REPUBLIC OF VENEZUELA,19,60,2016
116,MOROSINI CHAVES Thaynara,BRAZIL,21,60,2016
117,MORETTI Claudia,ITALY,22,60,2016
118,DUN Michell,BOLIVARIAN REPUBLIC OF VENEZUELA,21,58,2016
119,SANSAN Niki,INDONESIA,21,56,2016
120,WINDHOLZ Jamie,UNITED STATES OF AMERICA,19,54,2016
121,LAJMI Megane,FRANCE,20,52,2016
122,HE Yu Jie,PEOPLE'S REPUBLIC OF CHINA,19,50,2016
123,MEDEROS Katherin,BOLIVARIAN REPUBLIC OF VENEZUELA,19,48,2016
124,HUWENDIEK Kathrin,GERMANY,19,34,2016
125,XUAN Huan,PEOPLE'S REPUBLIC OF CHINA,19,30,2016
126,THIBAUT Sandie,FRANCE,20,30,2016
126,GUESNET Julie,FRANCE,22,30,2016
128,IDSØE Hege Haga,NORWAY,19,30,2016
128,MAMAT Noor Quraataina,MALAYSIA,21,30,2016
128,SOLANO VILCHEZ Johana,COSTA RICA,29,30,2016
128,MÉNDEZ ZUÑIGA María Isabel,GUATEMALA,22,30,2016
128,ŠABÍKOVÁ Radka,SLOVAKIA,26,30,2016
133,JUILLERAT Louanne,SWITZERLAND,19,28,2016
134,FONTAINE Camille,FRANCE,24,26,2016
134,BESNIER Oceane,FRANCE,19,26,2016
136,SHILOVA Victoria,RUSSIAN FEDERATION,19,26,2016
137,MAURICE Taylah,AUSTRALIA,19,24,2016
137,KAISER Laura,FRANCE,22,24,2016
137,GASKIN Rachel,AUSTRALIA,19,24,2016
140,BRICENO VALBUENA Rosanna Isabel,BOLIVARIAN REPUBLIC OF VENEZUELA,21,20,2016
140,KINNIE Erin,CANADA,20,20,2016
140,VANGOIDSENHOVEN Jone,BELGIUM,20,20,2016
140,GUZMAN Mónica,COSTA RICA,34,20,2016
140,AGUINTA Mitri,INDONESIA,22,20,2016
140,LOHUR Liis,ESTONIA,26,20,2016
140,PUENTE Cristina,GUATEMALA,22,20,2016
140,FLORES Norka,BOLIVIA,20,20,2016
148,MONAGHAN Cassidy,CANADA,22,15,2016
148,J. SAM Noraidillina Adilla,MALAYSIA,21,15,2016
148,ASAHINA Ayaka,JAPAN,20,15,2016
148,MATHEUSSEN Ynke,BELGIUM,19,15,2016
148,SRI RAHAYU Endang,INDONESIA,19,15,2016
148,PURI Ly,ESTONIA,37,15,2016
148,CALIZAYA Gladys,BOLIVIA,21,15,2016
155,RONCANCIO PINILLA Laura Daniela,COLOMBIA,21,10,2016
155,HURTADO Michelle,BOLIVARIAN REPUBLIC OF VENEZUELA,19,10,2016
155,MAHAT Atiyah Amirah,MALAYSIA,28,10,2016
158,MONTERROSA ARRIETA Dian Marcela,COLOMBIA,19,8,2016
158,MEZELAN Khuzaimah,MALAYSIA,33,8,2016
160,RIZZO Emy,FRANCE,21,6,2016
160,VISHNIAKOVA Anna,RUSSIAN FEDERATION,19,6,2016
162,BOUDOUX Mélanie,FRANCE,36,4,2016
162,ASCHEPKOVA Anastasia,RUSSIAN FEDERATION,22,4,2016
164,WOODWARD Esther,AUSTRALIA,20,2,2016
164,HETMANCZYK Margot,FRANCE,19,2,2016
1,PAJON Mariana,COLOMBIA,24,1620,2015
2,HERNANDEZ Stefany,BOLIVARIAN REPUBLIC OF VENEZUELA,24,1615,2015
3,WILLOUGHBY Alise,UNITED STATES OF AMERICA,24,1480,2015
4,BUCHANAN Caroline,AUSTRALIA,25,1445,2015
5,STANCIL Felicia,UNITED STATES OF AMERICA,20,1205,2015
6,CRAIN Brooke,UNITED STATES OF AMERICA,22,1200,2015
7,CHRISTENSEN Simone,DENMARK,21,1145,2015
8,REYNOLDS Lauren,AUSTRALIA,24,1017,2015
9,SMULDERS Laura,NETHERLANDS,22,1005,2015
10,VANHOOF Elke,BELGIUM,24,1005,2015
11,GEORGE Danielle,UNITED STATES OF AMERICA,21,995,2015
12,VAN BENTHEM Merle,NETHERLANDS,23,900,2015
13,SUVOROVA Natalia,RUSSIAN FEDERATION,20,900,2015
14,CARR Amanda,THAILAND,25,875,2015
15,WALKER Sarah,NEW ZEALAND,27,788,2015
16,HLADÍKOVÁ Aneta,CZECH REPUBLIC,31,765,2015
17,POTTIER Magalie,FRANCE,26,700,2015
18,DIAZ Maria Gabriela,ARGENTINA,34,595,2015
19,AZUERO Domenica,ECUADOR,19,590,2015
20,LE CORGUILLE Laetitia,FRANCE,29,570,2015
21,MCLEOD Melinda,AUSTRALIA,22,555,2015
22,JONES Rachel,AUSTRALIA,20,530,2015
23,PRIES Nadja,GERMANY,21,495,2015
24,SPRENGERS Dana,NETHERLANDS,25,467,2015
25,BAAUW Judy,NETHERLANDS,21,450,2015
26,GREEN Charlotte,GREAT BRITAIN,21,445,2015
27,RENO Shealen,UNITED STATES OF AMERICA,19,416,2015
28,DELLAR Kirsten,AUSTRALIA,23,406,2015
29,DIAZ Mariana,ARGENTINA,23,405,2015
30,SEKO Haruka,JAPAN,19,370,2015
31,ALEKSEJEVA Sandra,LATVIA,24,368,2015
32,KAPITANOVA Tatiana,RUSSIAN FEDERATION,19,345,2015
33,STEVAUX CARNAVAL Priscilla Andreia,BRAZIL,22,329,2015
34,GOMEZ ECHEVERRY Estefania,COLOMBIA,24,315,2015
35,AILLOUD Eva,FRANCE,25,295,2015
36,WALSH Amelia,CANADA,23,295,2015
37,NOVANDA Elga Kharisma,INDONESIA,22,290,2015
38,LABOUNKOVÁ Romana,CZECH REPUBLIC,26,288,2015
39,HILL Victoria,NEW ZEALAND,25,280,2015
40,DOUDOUX Mathilde,FRANCE,19,279,2015
41,IJANO QUINALHA Bianca,BRAZIL,22,275,2015
42,HARVEY Sarah,AUSTRALIA,20,265,2015
43,RIMSAITE Vilma,LITHUANIA,32,258,2015
44,THIBAUT Sandie,FRANCE,19,247,2015
45,THONGMEE Duangkamon,THAILAND,24,245,2015
46,O'KEEFFE Teagan,SOUTH AFRICA,23,241,2015
47,CASTILLO Yerlin,BOLIVARIAN REPUBLIC OF VENEZUELA,20,240,2015
48,ORTEGA Aliexis,BOLIVARIAN REPUBLIC OF VENEZUELA,19,240,2015
49,SAETAE Waranya,THAILAND,19,230,2015
50,CARRERA CHALA Karla Belen,ECUADOR,19,230,2015
51,ESPINOZA CORRAL Maria Angel,ECUADOR,21,230,2015
52,CURTIS Leanna,AUSTRALIA,22,227,2015
53,KLAUS Lieke,NETHERLANDS,26,226,2015
54,MCADAM Eliane,CANADA,20,218,2015
55,DUN Michell,BOLIVARIAN REPUBLIC OF VENEZUELA,20,215,2015
56,RUNGE Regula,GERMANY,26,215,2015
57,GODOY GAVIRIA Adriana Alexandra,BOLIVARIAN REPUBLIC OF VENEZUELA,20,210,2015
58,IIBATA Miki,JAPAN,30,205,2015
59,USOVA Tatiana,RUSSIAN FEDERATION,19,205,2015
60,SHAMAHINA Marina,RUSSIAN FEDERATION,21,197,2015
61,TAYLOR Abbie,GREAT BRITAIN,22,193,2015
62,GUNN Ashleigh,AUSTRALIA,19,185,2015
