Rank,Name,Nationality,Age,Points,Year
114,SUPONIN Sergey,RUSSIAN FEDERATION,20,160,2019
115,RECH Martin,AUSTRALIA,22,160,2019
116,KEMPF Zoltán,HUNGARY,23,160,2019
116,PETERS Darcy,CANADA,29,160,2019
116,BATISTA DE OLIVEIRA Gustavo,BRAZIL,17,160,2019
116,TOMA Martin,SLOVAKIA,21,160,2019
116,BAO Jiafu,PEOPLE'S REPUBLIC OF CHINA,20,160,2019
116,ROGGEVEEN Jari,NETHERLANDS,16,160,2019
116,KUKULJAN Ivan,CROATIA,22,160,2019
116,LAU Andy,SINGAPORE,23,160,2019
116,LEHMANN Zeno,SWITZERLAND,18,160,2019
125,NISHI Takase,JAPAN,32,153,2019
126,NEDLER Jacob,SWEDEN,25,150,2019
127,DE MEO PEREIRA Kevin Jesus,BOLIVARIAN REPUBLIC OF VENEZUELA,20,150,2019
128,GORNALL Shaun,GREAT BRITAIN,24,140,2019
129,UEDA Takato,JAPAN,17,140,2019
130,SULEIMANOV Rafael,RUSSIAN FEDERATION,24,140,2019
130,LIN Gongfeiyang,PEOPLE'S REPUBLIC OF CHINA,19,140,2019
132,STONE Kaden,UNITED STATES OF AMERICA,16,140,2019
133,VERBAANT Brent,BELGIUM,19,140,2019
134,LAZDINS Kalvis,LATVIA,28,134,2019
135,ATMATS Guntis,LATVIA,23,130,2019
135,JODAR NOTARIO Miguel Angel,SPAIN,25,130,2019
135,ÚJVÁRY Zoltán,HUNGARY,19,130,2019
135,VINCEK Timon,CROATIA,16,130,2019
135,ELLENS Arjan,NETHERLANDS,23,130,2019
135,ZAIN M. Rusydin,INDONESIA,23,130,2019
135,ADAMS Joshua,SINGAPORE,26,130,2019
135,MIČEK Andrej,SLOVAKIA,22,130,2019
135,SIDERIS Alexandre,SWITZERLAND,17,130,2019
144,MALOTT Jeremy,UNITED STATES OF AMERICA,23,126,2019
145,DALTON John,UNITED STATES OF AMERICA,24,126,2019
146,KHAIRUTDINOV Roman,RUSSIAN FEDERATION,26,125,2019
147,GALLI Vittorio Ludovico Germano,ITALY,25,121,2019
148,ODEHNAL Kryštof,CZECH REPUBLIC,18,120,2019
148,ROTH Devon,UNITED STATES OF AMERICA,23,120,2019
148,JAMES Todd,AUSTRALIA,24,120,2019
151,SAMIN Karin,BOLIVARIAN REPUBLIC OF VENEZUELA,24,120,2019
152,PANAVILLE Thibaut,FRANCE,24,120,2019
152,CHEN Jianbo,PEOPLE'S REPUBLIC OF CHINA,18,120,2019
154,MADONA PONTES DO NASCIMENTO Cauan,BRAZIL,25,118,2019
155,KLEPIS Valters,LATVIA,19,117,2019
156,WATTS Jason,AUSTRALIA,26,110,2019
157,MITCHELL Kaine,GREAT BRITAIN,21,110,2019
158,LIUBISHKIN Arsenii,RUSSIAN FEDERATION,16,110,2019
159,HAI Yang,PEOPLE'S REPUBLIC OF CHINA,16,110,2019
160,GATJENS CHAVES Paul,COSTA RICA,18,110,2019
161,RINDERKNECHT Nick,SWITZERLAND,18,110,2019
161,FRANCISCO FERNANDEZ Jaime,SPAIN,24,110,2019
161,BUYLE Steffen,BELGIUM,19,110,2019
161,TESHIGAHARA Daichi,JAPAN,24,110,2019
161,HORNYÁK Dávid,SLOVAKIA,18,110,2019
161,PRASETYO Budi Yudho,INDONESIA,26,110,2019
161,JÓZSA Milán,HUNGARY,20,110,2019
161,VAN MAREN Niels,NETHERLANDS,20,110,2019
161,LALIĆ Denis,CROATIA,17,110,2019
161,CALDERON CARVAJAL Antony,COSTA RICA,17,110,2019
161,ANTHONY Brian,SINGAPORE,22,110,2019
172,OHNISHI Kanya,JAPAN,35,100,2019
173,TOOHEY Jaie,AUSTRALIA,28,100,2019
174,MORIEN Quentin,FRANCE,25,100,2019
175,BENETTON Elia,ITALY,22,95,2019
176,VIKSNAM Patrikam,LATVIA,18,91,2019
177,AARTS Tristan,AUSTRALIA,23,90,2019
177,STROGANOV Daniil,RUSSIAN FEDERATION,17,90,2019
177,SHA Xiaolong,PEOPLE'S REPUBLIC OF CHINA,17,90,2019
177,SHARAFIEV Amir,RUSSIAN FEDERATION,16,90,2019
181,HOTTA Ryosei,JAPAN,15,90,2019
182,MORRISON Dylan,CANADA,17,90,2019
182,ROSIVAL Martin,SLOVAKIA,23,90,2019
182,MARTINEZ RODRIGUEZ Alex,SPAIN,15,90,2019
182,VUKMAN Márk,HUNGARY,24,90,2019
182,DZERVE Marcis,LATVIA,21,90,2019
182,ZEFERINO RIBEIRO Anderson,BRAZIL,23,90,2019
182,TENBULT Milan,NETHERLANDS,19,90,2019
182,ŠPIČKO Karlo,CROATIA,24,90,2019
182,MEMAH Rizky Leonardo,INDONESIA,29,90,2019
182,TAY Marcus,SINGAPORE,27,90,2019
182,HILBER Matthias,SWITZERLAND,22,90,2019
193,SCHEERS Pim,NETHERLANDS,23,84,2019
194,RAMIREZ Alejandro,BOLIVARIAN REPUBLIC OF VENEZUELA,27,80,2019
194,QUESADA FONSECA Jose,COSTA RICA,19,80,2019
196,SIBGATULLIN Ranel,RUSSIAN FEDERATION,15,70,2019
196,PHILIPS Nathan,AUSTRALIA,31,70,2019
198,AGARKOV Artem,RUSSIAN FEDERATION,23,70,2019
199,RAFFERTY Callum,GREAT BRITAIN,22,70,2019
199,CHRENKO Viktor,SLOVAKIA,20,70,2019
199,OWA Haruhiko,JAPAN,17,70,2019
199,TANGGUH Adhika,INDONESIA,21,70,2019
199,CSERVENÁK Csepel,HUNGARY,23,70,2019
199,RIBEIRO DOS SANTOS MENDONÇA Gabriel,BRAZIL,25,70,2019
199,SCHMIDT Keith,UNITED STATES OF AMERICA,30,70,2019
199,WEBSTER Brandon,CANADA,23,70,2019
199,ZEMAN Fran,CROATIA,22,70,2019
199,TAN Cyrus,SINGAPORE,37,70,2019
199,BARANYAI Mike,SWITZERLAND,21,70,2019
210,CEDANO CABRERA Jose,CHILE,22,61,2019
211,STEPANOV Anton,RUSSIAN FEDERATION,19,60,2019
212,ZAMBRANO Jeferson,BOLIVARIAN REPUBLIC OF VENEZUELA,20,60,2019
212,OKATYEV Mikhail,RUSSIAN FEDERATION,19,60,2019
214,ZHAO Yuhang,PEOPLE'S REPUBLIC OF CHINA,16,50,2019
215,VENN Isaac,GREAT BRITAIN,19,50,2019
216,MIRANDA Julian,FRANCE,22,50,2019
216,SZABÓ Gorgo,SLOVAKIA,17,50,2019
216,INGDRIANTO Anto,INDONESIA,24,50,2019
216,GÁL Tamás Dávid,HUNGARY,26,50,2019
216,ILIC Mateja,CANADA,20,50,2019
216,PETRINEC Jakov,CROATIA,24,50,2019
216,CAMPOS DIAZ Carlos Alejandro,COSTA RICA,19,50,2019
216,TAN Zhi Ren,SINGAPORE,25,50,2019
216,TAKAHASHI Akira,JAPAN,15,50,2019
216,MINGUELY Alexandre,SWITZERLAND,26,50,2019
226,BERAN Michael,CZECH REPUBLIC,30,40,2019
227,JASPE Cleiver,BOLIVARIAN REPUBLIC OF VENEZUELA,22,40,2019
228,NICOL Chris,AUSTRALIA,25,31,2019
229,MIROSHNICHENKO Aleksandr,RUSSIAN FEDERATION,28,30,2019
229,LEITE DE OLIVEIRA Douglas,BRAZIL,28,30,2019
229,PEŠEK Zdeněk,CZECH REPUBLIC,26,30,2019
232,CANTENOT Philippe,FRANCE,24,30,2019
232,MALIK Mohamad Ihsan,INDONESIA,20,30,2019
232,GIBIM SODRÉ Davi Henrique,BRAZIL,16,30,2019
232,PRUŽINEC Jakub,SLOVAKIA,18,30,2019
232,INGRAM Gavin,CANADA,18,30,2019
232,SIEDEK Luca,GERMANY,19,30,2019
232,VLAHINIĆ Fran Marko,CROATIA,17,30,2019
232,VAJDA Márton,HUNGARY,21,30,2019
232,MORA NUÑEZ Pablo,COSTA RICA,27,30,2019
232,TARANTINO Jacopo,ITALY,27,30,2019
232,BUESS Patrice,SWITZERLAND,20,30,2019
243,PHAMEE Rungrueang,THAILAND,28,23,2019
244,FIGAR Erik,CZECH REPUBLIC,24,20,2019
244,MINNE Brent,BELGIUM,24,20,2019
244,WOODWARD Brad,AUSTRALIA,24,20,2019
244,MURRAY Seth,GREAT BRITAIN,17,20,2019
248,ORSINI Maxime,FRANCE,23,20,2019
249,CORDERO SANCHEZ Maikol,COSTA RICA,24,20,2019
249,DEVASSINE Romain,FRANCE,21,20,2019
249,FREIGANG Dominik,GERMANY,21,20,2019
249,KOZIE Travis,CANADA,25,20,2019
249,PARLINDUNGAN Roni Rizki,INDONESIA,20,20,2019
249,OROPEZA Migdow,BOLIVARIAN REPUBLIC OF VENEZUELA,32,20,2019
249,BECSEI Ádám,HUNGARY,20,20,2019
249,LALIĆ Mihael,CROATIA,19,20,2019
249,SZABO Andrej,SLOVAKIA,16,20,2019
249,ROGERS Ricky,UNITED STATES OF AMERICA,37,20,2019
249,SILVESTRE FERREIRA DA SILVA Thiago Pedro,BRAZIL,30,20,2019
260,ZEBOLDS Ernests,LATVIA,20,17,2019
261,DÁNIEL Jósa,HUNGARY,33,15,2019
262,HILDER Boyd,AUSTRALIA,24,13,2019
263,SOLANO Mario Sebastian,ARGENTINA,30,11,2019
264,RUIZ ALDANA Kevin,COLOMBIA,25,10,2019
264,JAMES Chris,AUSTRALIA,29,10,2019
264,LABRADOR RAMIREZ Moises Alejandro,BOLIVARIAN REPUBLIC OF VENEZUELA,21,10,2019
264,CANTRELL Gabriel,UNITED STATES OF AMERICA,17,10,2019
268,PREPELICZAY-NAGY Tamás,HUNGARY,24,10,2019
268,FLAMIK Mário,SLOVAKIA,28,10,2019
268,RUSSELL Nicholas,CANADA,30,10,2019
268,MOLINA MORERA Carlos,COSTA RICA,19,10,2019
268,FRANZEM Miguel-Emanuel,GERMANY,22,10,2019
268,RODRIGUEZ Jhonny,BOLIVARIAN REPUBLIC OF VENEZUELA,24,10,2019
268,HAIKAL Tri Yoga Vikri,INDONESIA,19,10,2019
268,BENNETT Ollie,GREAT BRITAIN,23,10,2019
268,OKADA Seimei,JAPAN,16,10,2019
268,SERAFIM FRANCEZ JUNIOR Roberto,BRAZIL,23,10,2019
268,SCHILLIGER Fabian,SWITZERLAND,30,10,2019
279,PONCE PAZ Erick Gabriel,SPAIN,20,5,2019
280,BARON CORREA Cristhian,COLOMBIA,25,1,2019
1,DOWELL Justin,UNITED STATES OF AMERICA,18,4330,2018
2,LOUPOS Brandon,AUSTRALIA,25,3650,2018
3,DHERS Daniel,BOLIVARIAN REPUBLIC OF VENEZUELA,33,3580,2018
4,TENCIO ESQUIVEL Kenneth Fabian,COSTA RICA,25,3160,2018
5,BRUCE Nick,UNITED STATES OF AMERICA,26,3020,2018
6,SANDOVAL Daniel,UNITED STATES OF AMERICA,24,2810,2018
7,RANTEŠ Marin,CROATIA,23,2683,2018
8,WALLWORK Jake,AUSTRALIA,24,2636,2018
9,NAKAMURA Rimu,JAPAN,16,2360,2018
10,RIZAEV Irek,RUSSIAN FEDERATION,21,2180,2018
11,MALOTT Jeremy,UNITED STATES OF AMERICA,22,1910,2018
12,MARTIN Logan,AUSTRALIA,25,1900,2018
13,CLARK Jack,GREAT BRITAIN,24,1736,2018
14,NIKULIN Aleksandr,RUSSIAN FEDERATION,26,1728,2018
15,ENARSON Dennis,UNITED STATES OF AMERICA,27,1720,2018
16,FOX Brian,UNITED STATES OF AMERICA,23,1604,2018
17,JONES James,GREAT BRITAIN,34,1589,2018
18,COLEBORN Alex,GREAT BRITAIN,26,1478,2018
19,WALLACE Ben,GREAT BRITAIN,32,1429,2018
20,LEIVA Jacob,UNITED STATES OF AMERICA,24,1384,2018
21,ANDREEV Konstantin,RUSSIAN FEDERATION,25,1300,2018
22,NYQUIST Ryan,UNITED STATES OF AMERICA,39,896,2018
23,WALKER Colton,UNITED STATES OF AMERICA,21,885,2018
24,TORRES GIL Jose,ARGENTINA,23,870,2018
25,CASEY Pat,UNITED STATES OF AMERICA,25,856,2018
26,BROOKS Declan,GREAT BRITAIN,22,855,2018
27,BONDU Joel,CANADA,22,820,2018
28,JEANJEAN Anthony,FRANCE,20,737,2018
29,WEDEMEIJER Daniel,NETHERLANDS,28,508,2018
30,PEAKE Cam,GREAT BRITAIN,21,474,2018
31,BALDOCK Kyle,AUSTRALIA,27,466,2018
32,TRYON Bryce,UNITED STATES OF AMERICA,18,415,2018
33,TANCRE Kenneth,BELGIUM,23,406,2018
34,PERAZA GARCIA Kevin,UNITED STATES OF AMERICA,24,392,2018
35,DE SOUZA Andre Luiz,BRAZIL,28,370,2018
36,VAN DEN BOGAARD Tom,NETHERLANDS,22,330,2018
37,JONES Mark,GREAT BRITAIN,33,304,2018
38,REILLY Kieran,GREAT BRITAIN,17,290,2018
39,WATTS Jason,AUSTRALIA,25,290,2018
40,MOSQUERA CAMACHO Julio Jonathan,ECUADOR,25,287,2018
41,CAILLET Istvan,FRANCE,26,283,2018
42,NISHI Takase,JAPAN,31,253,2018
43,MADONA PONTES DO NASCIMENTO Cauan,BRAZIL,24,235,2018
44,SCHEERS Pim,NETHERLANDS,22,230,2018
45,PEÑAFIEL FERNANDEZ Daniel,SPAIN,30,225,2018
46,NICOL Chris,AUSTRALIA,24,220,2018
47,MOREIRA DOS SANTOS NETO Leandro,BRAZIL,32,218,2018
48,THÖLEN Paul,GERMANY,20,213,2018
49,BARBERO Alessandro,ITALY,35,207,2018
50,BERAN Michael,CZECH REPUBLIC,29,200,2018
50,WINATA Ardika,INDONESIA,25,200,2018
52,HARDARSON Bjarki,ICELAND,20,200,2018
52,ZHANG Zhiyong,PEOPLE'S REPUBLIC OF CHINA,25,200,2018
54,ZEBOLDS Ernests,LATVIA,19,184,2018
55,KHAIRUTDINOV Roman,RUSSIAN FEDERATION,25,165,2018
56,OSHIMO Yuma,JAPAN,17,160,2018
57,INGDRIANTO Anto,INDONESIA,23,160,2018
57,HILDER Boyd,AUSTRALIA,23,160,2018
59,BENEDIKTSSON Benedikt,ICELAND,24,160,2018
59,OWA Haruhiko,JAPAN,16,160,2018
59,JODAR NOTARIO Miguel Angel,SPAIN,24,160,2018
59,WU Zhipeng,PEOPLE'S REPUBLIC OF CHINA,27,160,2018
63,FIGAR Erik,CZECH REPUBLIC,23,150,2018
64,WEIDMANN Levi,NETHERLANDS,18,144,2018
65,GIBSON Samuel,AUSTRALIA,20,140,2018
66,BEZANSON Drew,CANADA,29,130,2018
67,PRADIPTA Adrian Dwi,INDONESIA,21,130,2018
68,STEFANSSON Gudgeir Simon,ICELAND,17,130,2018
68,BATISTA DE OLIVEIRA Gustavo,BRAZIL,16,130,2018
68,ZENG Yuanjie,PEOPLE'S REPUBLIC OF CHINA,22,130,2018
71,TAKAGI Toshio,JAPAN,29,112,2018
72,BRANDES Evan,GERMANY,18,110,2018
73,VERONICK Ricky,UNITED STATES OF AMERICA,23,110,2018
74,BOUCHER Harry,GREAT BRITAIN,21,110,2018
74,TANGGUH Adhika,INDONESIA,20,110,2018
76,LI Jiahui,PEOPLE'S REPUBLIC OF CHINA,22,110,2018
76,ZEFERINO RIBEIRO Anderson,BRAZIL,22,110,2018
76,TENBULT Milan,NETHERLANDS,18,110,2018
79,OHNISHI Kanya,JAPAN,34,102,2018
80,FRIES Ismael,ARGENTINA,22,90,2018
80,MUTASHIN Arief Maulana,INDONESIA,22,90,2018
80,SMITH Tucker,UNITED STATES OF AMERICA,19,90,2018
83,GIBIM SODRÉ Davi Henrique,BRAZIL,15,90,2018
83,GONG Hailong,PEOPLE'S REPUBLIC OF CHINA,18,90,2018
83,JAMES Chris,AUSTRALIA,28,90,2018
83,VAN MAREN Niels,NETHERLANDS,19,90,2018
87,MUÑOZ TORO Victor,CHILE,31,88,2018
88,BARON CORREA Cristhian,COLOMBIA,24,84,2018
89,KOVAČOVIČ Michal,SLOVAKIA,20,79,2018
90,GRINBERGS Tomass,LATVIA,21,72,2018
91,QUINLIVAN Liam,AUSTRALIA,21,71,2018
92,MALIK Mohamad Ihsan,INDONESIA,19,70,2018
93,UEDA Takato,JAPAN,16,70,2018
93,BROUNS Sean,BELGIUM,20,70,2018
93,WANG Ziyu,PEOPLE'S REPUBLIC OF CHINA,17,70,2018
93,KOK Sem,NETHERLANDS,22,70,2018
97,GORNALL Shaun,GREAT BRITAIN,23,68,2018
98,MITCHELL Kaine,GREAT BRITAIN,20,59,2018
99,MEISEL Michael,GERMANY,22,54,2018
100,TÜNTE Daniel,GERMANY,26,54,2018
101,SOLANO Mario Sebastian,ARGENTINA,29,51,2018
102,PRIYONO Ade,INDONESIA,26,50,2018
102,MARTINEZ Eze,AUSTRALIA,22,50,2018
104,LEITE DE OLIVEIRA Douglas,BRAZIL,27,50,2018
104,ZHENG Dejing,PEOPLE'S REPUBLIC OF CHINA,25,50,2018
104,BALLIS Matty,AUSTRALIA,21,50,2018
104,ROGGEVEEN Jari,NETHERLANDS,15,50,2018
108,CHIPMAN Jaden,CANADA,18,45,2018
109,DANELUTTI Alec,AUSTRALIA,18,42,2018
110,ARTEM Perepelitsa,RUSSIAN FEDERATION,22,34,2018
111,CHALIFOUR Maxime,CANADA,19,30,2018
112,PRASETYO Budi Yudho,INDONESIA,25,30,2018
113,DE OLIVEIRA SOUSA Caio,BRAZIL,25,30,2018
113,TESHIGAHARA Daichi,JAPAN,23,30,2018
113,VERBAANT Brent,BELGIUM,18,30,2018
113,ZHOU Jianhua,PEOPLE'S REPUBLIC OF CHINA,18,30,2018
113,AHUMADA Andrew,AUSTRALIA,29,30,2018
118,AARTS Tristan,AUSTRALIA,22,29,2018
118,CEDANO CABRERA Jose,CHILE,21,29,2018
120,BORTHWICK Jack,AUSTRALIA,18,29,2018
121,BETTASSA Emanuel,ITALY,28,25,2018
122,FERRASSE Florian,FRANCE,24,24,2018
123,MIRANDA Julian,FRANCE,21,23,2018
124,PEYTAVIT Jean Baptiste,FRANCE,31,22,2018
125,CHAVES Gabriel Matias,ARGENTINA,22,21,2018
126,HARK Wesley,UNITED STATES OF AMERICA,27,21,2018
127,TEUL Patryk,POLAND,23,20,2018
128,ACOSTA REYES Irving Joaquin,MEXICO,24,20,2018
129,ACHMAD Farhan,INDONESIA,17,20,2018
129,ANDERSON Dean,AUSTRALIA,26,20,2018
131,KUWANO Takanori,JAPAN,20,20,2018
131,XIE Zhaoshan,PEOPLE'S REPUBLIC OF CHINA,23,20,2018
131,RIBEIRO DOS SANTOS MENDONÇA Gabriel,BRAZIL,24,20,2018
131,SELBECK Tom,NETHERLANDS,23,20,2018
135,PARDO RUBIO Andres Felipe,COLOMBIA,24,19,2018
136,SULEIMANOV Rafael,RUSSIAN FEDERATION,23,18,2018
137,FREIGANG Dominik,GERMANY,20,18,2018
138,HESSEY Dylan,GREAT BRITAIN,15,17,2018
139,VARGA Mike,CANADA,22,15,2018
139,ŽAN Matej,SLOVENIA,20,15,2018
139,MOGOLLON ABRIL Michael,COLOMBIA,26,15,2018
142,ANTONUCCIO Valentin,FRANCE,17,13,2018
143,BRINGER Maxime,FRANCE,21,12,2018
144,GATICA LEIVA Manuel Ignacio,CHILE,26,12,2018
144,BAILEY Jacob,UNITED STATES OF AMERICA,22,12,2018
146,RIDWAN Muhammad,INDONESIA,27,10,2018
147,WAEGEMAN Amaury,BELGIUM,22,10,2018
147,BAO Jiafu,PEOPLE'S REPUBLIC OF CHINA,19,10,2018
147,ASANO Yuuki,JAPAN,31,10,2018
147,DE OLIVEIRA BUENO Danilo,BRAZIL,28,10,2018
147,FREEMAN Nathan,AUSTRALIA,20,10,2018
147,VAN DE WARDT Erik,NETHERLANDS,20,10,2018
153,MINNE Brent,BELGIUM,23,8,2018
154,LEE Jiho,KOREA,17,8,2018
155,PHAMEE Rungrueang,THAILAND,27,6,2018
156,FREIGANG Tobias,GERMANY,24,6,2018
157,BENDA Jakub,CZECH REPUBLIC,20,4,2018
158,GROSIC Senad,AUSTRIA,39,2,2018
159,MARQUEZ MENDEZ Aldo Pabel,MEXICO,23,1,2018
